IdLocalidade;Localidade;Municipio;UF
003053;BARREIROS;BARREIROS;PE        
3054;RIO FORMOSO;RIO FORMOSO;PE        
003054;RIO FORMOSO;RIO FORMOSO;PE        
3055;GAMELEIRA;GAMELEIRA;PE        
003055;GAMELEIRA;GAMELEIRA;PE        
3056;RIBEIRAO;RIBEIRAO;PE        
003056;RIBEIRAO;RIBEIRAO;PE        
3058;SIRINHAEM;SIRINHAEM;PE        
003058;SIRINHAEM;SIRINHAEM;PE        
3059;IPOJUCA;IPOJUCA;PE        
003059;IPOJUCA;IPOJUCA;PE        
3064;SIMPLICIO MENDES;SIMPLICIO MENDES;PI        
003064;SIMPLICIO MENDES;SIMPLICIO MENDES;PI        
3071;JACOBINA DO PIAUI;JACOBINA DO PIAUI;PI        
003071;JACOBINA DO PIAUI;JACOBINA DO PIAUI;PI        
3072;PAULISTANA;PAULISTANA;PI        
003072;PAULISTANA;PAULISTANA;PI        
3073;ACAUA;ACAUA;PI        
003073;ACAUA;ACAUA;PI        
3074;PATOS DO PIAUI;PATOS DO PIAUI;PI        
003074;PATOS DO PIAUI;PATOS DO PIAUI;PI        
3078;JAICOS;JAICOS;PI        
003078;JAICOS;JAICOS;PI        
3085;IPIRANGA DO PIAUI;IPIRANGA DO PIAUI;PI        
003085;IPIRANGA DO PIAUI;IPIRANGA DO PIAUI;PI        
3086;DOM EXPEDITO LOPES;DOM EXPEDITO LOPES;PI        
003086;DOM EXPEDITO LOPES;DOM EXPEDITO LOPES;PI        
3088;PICOS;PICOS;PI        
003088;PICOS;PICOS;PI        
3090;INHUMA;INHUMA;PI        
003090;INHUMA;INHUMA;PI        
3092;VALENCA DO PIAUI;VALENCA DO PIAUI;PI        
003092;VALENCA DO PIAUI;VALENCA DO PIAUI;PI        
3098;SANTO ANTONIO DE LISBOA;SANTO ANTONIO DE LISBOA;PI        
003098;SANTO ANTONIO DE LISBOA;SANTO ANTONIO DE LISBOA;PI        
3108;MARCOLANDIA;MARCOLANDIA;PI        
003108;MARCOLANDIA;MARCOLANDIA;PI        
3109;ARARIPINA;ARARIPINA;PE        
003109;ARARIPINA;ARARIPINA;PE        
3111;OURICURI;OURICURI;PE        
003111;OURICURI;OURICURI;PE        
3112;TRINDADE;TRINDADE;PE        
003112;TRINDADE;TRINDADE;PE        
3116;FRONTEIRAS;FRONTEIRAS;PI        
003116;FRONTEIRAS;FRONTEIRAS;PI        
3120;CAMPOS SALES;CAMPOS SALES;CE        
003120;CAMPOS SALES;CAMPOS SALES;CE        
3125;ANTONINA DO NORTE;ANTONINA DO NORTE;CE        
003125;ANTONINA DO NORTE;ANTONINA DO NORTE;CE        
3130;CASTELO DO PIAUI;CASTELO DO PIAUI;PI        
003130;CASTELO DO PIAUI;CASTELO DO PIAUI;PI        
3133;SAO MIGUEL DO TAPUIO;SAO MIGUEL DO TAPUIO;PI        
003133;SAO MIGUEL DO TAPUIO;SAO MIGUEL DO TAPUIO;PI        
3146;ALTO PARANA;ALTO PARANA;PR        
003146;ALTO PARANA;ALTO PARANA;PR        
3147;NOVA ESPERANCA;NOVA ESPERANCA;PR        
003147;NOVA ESPERANCA;NOVA ESPERANCA;PR        
3149;MANDAGUACU;MANDAGUACU;PR        
003149;MANDAGUACU;MANDAGUACU;PR        
3150;MARINGA;MARINGA;PR        
003150;MARINGA;MARINGA;PR        
3152;UNIFLOR;UNIFLOR;PR        
003152;UNIFLOR;UNIFLOR;PR        
3153;BRASILANDIA;BRASILANDIA;MS        
003153;BRASILANDIA;BRASILANDIA;MS        
3154;PRESIDENTE VENCESLAU;PRESIDENTE VENCESLAU;SP        
003154;PRESIDENTE VENCESLAU;PRESIDENTE VENCESLAU;SP        
3155;SANTO ANASTACIO;SANTO ANASTACIO;SP        
003155;SANTO ANASTACIO;SANTO ANASTACIO;SP        
3157;PRESIDENTE BERNARDES;PRESIDENTE BERNARDES;SP        
003157;PRESIDENTE BERNARDES;PRESIDENTE BERNARDES;SP        
3163;CHAPADAO DO CEU;CHAPADAO DO CEU;GO        
003163;CHAPADAO DO CEU;CHAPADAO DO CEU;GO        
3164;ALTO TAQUARI;ALTO TAQUARI;MT        
003164;ALTO TAQUARI;ALTO TAQUARI;MT        
3165;ALTO ARAGUAIA;ALTO ARAGUAIA;MT        
003165;ALTO ARAGUAIA;ALTO ARAGUAIA;MT        
3166;SANTA RITA DO ARAGUAIA;SANTA RITA DO ARAGUAIA;GO        
003166;SANTA RITA DO ARAGUAIA;SANTA RITA DO ARAGUAIA;GO        
3168;MINEIROS;MINEIROS;GO        
003168;MINEIROS;MINEIROS;GO        
3169;PORTELANDIA;PORTELANDIA;GO        
003169;PORTELANDIA;PORTELANDIA;GO        
3172;ANGULO;ANGULO;PR        
003172;ANGULO;ANGULO;PR        
3173;FLORIDA;FLORIDA;PR        
003173;FLORIDA;FLORIDA;PR        
3180;JANDAIA DO SUL;JANDAIA DO SUL;PR        
003180;JANDAIA DO SUL;JANDAIA DO SUL;PR        
3186;MARIALVA;MARIALVA;PR        
003186;MARIALVA;MARIALVA;PR        
3188;MANDAGUARI;MANDAGUARI;PR        
003188;MANDAGUARI;MANDAGUARI;PR        
3189;IGUARACU;IGUARACU;PR        
003189;IGUARACU;IGUARACU;PR        
3190;ASTORGA;ASTORGA;PR        
003190;ASTORGA;ASTORGA;PR        
3191;MUNHOZ DE MELO;MUNHOZ DE MELO;PR        
003191;MUNHOZ DE MELO;MUNHOZ DE MELO;PR        
3193;APUCARANA;APUCARANA;PR        
003193;APUCARANA;APUCARANA;PR        
3194;ARAPONGAS;ARAPONGAS;PR        
003194;ARAPONGAS;ARAPONGAS;PR        
3197;JAGUAPITA;JAGUAPITA;PR        
003197;JAGUAPITA;JAGUAPITA;PR        
3206;RITAPOLIS;RITAPOLIS;MG        
003206;RITAPOLIS;RITAPOLIS;MG        
3208;SAO JOAO DEL REI;SAO JOAO DEL REI;MG        
003208;SAO JOAO DEL REI;SAO JOAO DEL REI;MG        
3213;ITAGUAI;ITAGUAI;RJ        
003213;ITAGUAI;ITAGUAI;RJ        
3219;IEPE;IEPE;SP        
003219;IEPE;IEPE;SP        
3221;REGENTE FEIJO;REGENTE FEIJO;SP        
